article_title,url,status_code,timestamp
Malcolm-Jamal Warner,https://www.essence.com/news_entertainment/entertainment/articles/flashback_fridays_malcolm_jamal_warner/,404,20250722_151444
Malcolm-Jamal Warner,https://www.nytimes.com/1995/08/20/tv/cover-story-flying-in-the-face-of-discrimination.html,403,20250722_151444
Malcolm-Jamal Warner,http://data.bibliotheken.nl/id/thes/p073262897,404,20250722_151444
Malcolm-Jamal Warner,"http://www.people.com/people/archive/article/0,,20127316,00.html",404,20250722_151444
Malcolm-Jamal Warner,https://twitter.com/malcolmjamalwar,403,20250722_151444
Malcolm-Jamal Warner,https://isni.org/isni/0000000072500865,403,20250722_151444
Malcolm-Jamal Warner,https://id.worldcat.org/fast/228316,404,20250722_151444
Malcolm-Jamal Warner,https://www.nytimes.com/2025/07/21/arts/television/malcolm-jamal-warner-dead.html,403,20250722_151444
Malcolm-Jamal Warner,http://tvline.com/2015/05/13/american-crime-story-malcolm-jamal-warner-al-cowlings/,404,20250722_151444
Superman (2025 film),https://x.com/AaronCouch/status/1628883501385932800,403,20250722_151444
